State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
Kerala,1,1997,0,Arecanut,2253,1518
Kerala,1,1997,0,Black pepper,2235,248
Kerala,1,1997,0,Cashewnut,7205,2358
Kerala,1,1997,0,Coconut ,77893,399000
Kerala,1,1997,0,Tapioca,3911,74110
Kerala,1,1998,1,Rice,8719,17570
Kerala,1,1998,2,Sesamum,1150,140
Kerala,1,1998,3,Rice,19058,58013
Kerala,1,1998,0,Arecanut,2067,766
Kerala,1,1998,0,Banana,324,4493
Kerala,1,1998,0,Black pepper,2028,256
Kerala,1,1998,0,Cashewnut,4860,792
Kerala,1,1998,0,Coconut ,58621,288000000
Kerala,1,1998,0,Dry ginger,119,224
Kerala,1,1998,0,Sugarcane,192,4190
Kerala,1,1998,0,Sweet potato,7,81
Kerala,1,1998,0,Tapioca,4929,86808
Kerala,1,1998,0,Turmeric,12,14
Kerala,1,1998,4,Rice,7348,16098
Kerala,1,1999,1,Rice,8233,24776
Kerala,1,1999,2,Sesamum,902,126
Kerala,1,1999,3,Rice,16404,39718
Kerala,1,1999,0,Arecanut,2308,1043
Kerala,1,1999,0,Banana,536,5418
Kerala,1,1999,0,Black pepper,1943,242
Kerala,1,1999,0,Cashewnut,4909,1326
Kerala,1,1999,0,Coconut ,61270,333000000
Kerala,1,1999,0,Dry ginger,125,333
Kerala,1,1999,0,Sugarcane,92,2890
Kerala,1,1999,0,Sweet potato,2,23
Kerala,1,1999,0,Tapioca,4524,90552
Kerala,1,1999,0,Turmeric,11,13
Kerala,1,1999,4,Rice,10689,27593
Kerala,1,2000,1,Rice,9808,16384
Kerala,1,2000,2,Sesamum,617,201
Kerala,1,2000,3,Rice,17536,55953
Kerala,1,2000,0,Arecanut,2205,917
Kerala,1,2000,0,Banana,595,4134
Kerala,1,2000,0,Black pepper,2134,297
Kerala,1,2000,0,Cashewnut,4728,1234
Kerala,1,2000,0,Coconut ,59775,288000000
Kerala,1,2000,0,Dry ginger,161,353
Kerala,1,2000,0,Sugarcane,116,7900
Kerala,1,2000,0,Sweet potato,1,12
Kerala,1,2000,0,Tapioca,4843,81313
Kerala,1,2000,0,Turmeric,11,12
Kerala,1,2000,4,Rice,10396,31207
Kerala,1,2001,1,Rice,6851,2390
Kerala,1,2001,2,Sesamum,140,36
Kerala,1,2001,3,Rice,8741,22668
Kerala,1,2001,0,Arecanut,2389,792
Kerala,1,2001,0,Banana,553,3372
Kerala,1,2001,0,Black pepper,2054,196
Kerala,1,2001,0,Cashewnut,4472,1355
Kerala,1,2001,0,Coconut ,57047,280000000
Kerala,1,2001,0,Dry ginger,180,308
Kerala,1,2001,0,Rubber,3849,4114
Kerala,1,2001,0,Sugarcane,104,7080
Kerala,1,2001,0,Sweet potato,4,48
Kerala,1,2001,0,Tapioca,4367,72694
Kerala,1,2001,0,Turmeric,15,20
Kerala,1,2001,4,Rice,17519,47741
Kerala,1,2002,1,Rice,3721,9467
Kerala,1,2002,2,Sesamum,74,27
Kerala,1,2002,3,Rice,8765,28992
Kerala,1,2002,0,Arecanut,2441,1016
Kerala,1,2002,0,Banana,470,3815
Kerala,1,2002,0,Bhindi,16,0
Kerala,1,2002,0,Bitter Gourd,86,0
Kerala,1,2002,0,Black pepper,1940,174
Kerala,1,2002,0,Brinjal,55,0
Kerala,1,2002,0,Cashewnut,4313,1349
Kerala,1,2002,0,Cashewnut Raw,4313,1349
Kerala,1,2002,0,Coconut ,55407,267000000
Kerala,1,2002,0,Drum Stick,825,920
Kerala,1,2002,0,Dry ginger,125,220
Kerala,1,2002,0,Jack Fruit,3015,5
Kerala,1,2002,0,Mango,5708,19244
Kerala,1,2002,0,Other Fresh Fruits,883,0
Kerala,1,2002,0,other oilseeds,135,0
Kerala,1,2002,0,Other Vegetables,1977,0
Kerala,1,2002,0,Papaya,1099,5467
Kerala,1,2002,0,Pineapple,105,403
Kerala,1,2002,0,Rubber,3825,4356
Kerala,1,2002,0,Snak Guard,76,0
Kerala,1,2002,0,Sugarcane,120,8170
Kerala,1,2002,0,Sweet potato,1,12
Kerala,1,2002,0,Tapioca,4121,70944
Kerala,1,2002,0,Turmeric,9,11
Kerala,1,2002,4,Rice,17149,53102
Kerala,1,2003,1,Rice,5650,11736
Kerala,1,2003,2,Sesamum,168,38
Kerala,1,2003,2,Small millets,5,4
Kerala,1,2003,3,Rice,9727,21180
Kerala,1,2003,0,Arecanut,2416,978
Kerala,1,2003,0,Banana,553,3717
Kerala,1,2003,0,Bhindi,11,0
Kerala,1,2003,0,Bitter Gourd,90,0
Kerala,1,2003,0,Black pepper,1997,167
Kerala,1,2003,0,Brinjal,56,0
Kerala,1,2003,0,Cashewnut,4092,1394
Kerala,1,2003,0,Coconut ,55982,312000000
Kerala,1,2003,0,Drum Stick,851,945
Kerala,1,2003,0,Dry ginger,117,198
Kerala,1,2003,0,Jack Fruit,3015,7
Kerala,1,2003,0,Mango,5371,19968
Kerala,1,2003,0,Other Fresh Fruits,762,0
Kerala,1,2003,0,Other Vegetables,2262,0
Kerala,1,2003,0,Papaya,1123,5581
Kerala,1,2003,0,Pineapple,87,392
Kerala,1,2003,0,Snak Guard,93,0
Kerala,1,2003,0,Sugarcane,162,11030
Kerala,1,2003,0,Sweet potato,1,12
Kerala,1,2003,0,Tapioca,3602,85333
Kerala,1,2003,0,Turmeric,8,7
Kerala,1,2003,4,Rice,16706,30092
Kerala,1,2004,1,Rice,6366,18345
Kerala,1,2004,2,Sesamum,176,48
Kerala,1,2004,3,Rice,11991,27680
Kerala,1,2004,0,Arecanut,2376,1006
Kerala,1,2004,0,Banana,564,3725
Kerala,1,2004,0,Black pepper,2079,181
Kerala,1,2004,0,Cashewnut,3749,1016
Kerala,1,2004,0,Coconut ,56325,328000000
Kerala,1,2004,0,Dry ginger,92,182
Kerala,1,2004,0,Sugarcane,152,10350
Kerala,1,2004,0,Sweet potato,8,96
Kerala,1,2004,0,Tapioca,3462,82144
Kerala,1,2004,0,Turmeric,11,12
Kerala,1,2004,4,Rice,13801,32466
Kerala,1,2005,1,Rice,8643,16555
Kerala,1,2005,2,Sesamum,62,17
Kerala,1,2005,3,Rice,4465,11764
Kerala,1,2005,0,Arecanut,2353,950
Kerala,1,2005,0,Banana,578,3927
Kerala,1,2005,0,Black pepper,2000,177
Kerala,1,2005,0,Cashewnut,3525,1182
Kerala,1,2005,0,Coconut ,56154,357000000
Kerala,1,2005,0,Dry ginger,34,73
Kerala,1,2005,0,Sugarcane,8,440
Kerala,1,2005,0,Sweet potato,2,24
Kerala,1,2005,0,Tapioca,2668,62286
Kerala,1,2005,0,Turmeric,11,13
Kerala,1,2005,4,Rice,15660,43429
Kerala,1,2006,1,Rice,7594,22287
Kerala,1,2006,2,Sesamum,192,72
Kerala,1,2006,3,Rice,9770,27762
Kerala,1,2006,0,Arecanut,2021,671
Kerala,1,2006,0,Banana,601,4310
Kerala,1,2006,0,Black pepper,1872,232
Kerala,1,2006,0,Cashewnut,2995,978
Kerala,1,2006,0,Coconut ,48726,360000000
Kerala,1,2006,0,Dry ginger,66,163
Kerala,1,2006,0,Sugarcane,48,2860
Kerala,1,2006,0,Sweet potato,6,72
Kerala,1,2006,0,Tapioca,2664,66790
Kerala,1,2006,0,Turmeric,20,21
Kerala,1,2006,4,Rice,13696,40111
Kerala,1,2007,1,Rice,7991,14128
Kerala,1,2007,2,Ragi,1,1
Kerala,1,2007,2,Sesamum,61,12
Kerala,1,2007,3,Rice,15291,26776
Kerala,1,2007,0,Arecanut,1696,687
Kerala,1,2007,0,Banana,635,4072
Kerala,1,2007,0,Black pepper,1790,207
Kerala,1,2007,0,Cashewnut,2515,993
Kerala,1,2007,0,Coconut ,43976,301000000
Kerala,1,2007,0,Dry ginger,94,172
Kerala,1,2007,0,Sugarcane,25,1870
Kerala,1,2007,0,Sweet potato,6,72
Kerala,1,2007,0,Tapioca,2516,70918
Kerala,1,2007,0,Turmeric,28,34
Kerala,1,2007,4,Rice,10053,21366
Kerala,1,2008,1,Rice,8755,26254
Kerala,1,2008,2,Sesamum,93,78
Kerala,1,2008,3,Rice,18121,55997
