State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
Kerala,ALAPPUZHA,1997,Whole Year ,Arecanut,2253,1518
Kerala,ALAPPUZHA,1997,Whole Year ,Black pepper,2235,248
Kerala,ALAPPUZHA,1997,Whole Year ,Cashewnut,7205,2358
Kerala,ALAPPUZHA,1997,Whole Year ,Coconut ,77893,399000
Kerala,ALAPPUZHA,1997,Whole Year ,Tapioca,3911,74110
Kerala,ALAPPUZHA,1998,Autumn     ,Rice,8719,17570
Kerala,ALAPPUZHA,1998,Kharif     ,Sesamum,1150,140
Kerala,ALAPPUZHA,1998,Summer     ,Rice,19058,58013
Kerala,ALAPPUZHA,1998,Whole Year ,Arecanut,2067,766
Kerala,ALAPPUZHA,1998,Whole Year ,Banana,324,4493
Kerala,ALAPPUZHA,1998,Whole Year ,Black pepper,2028,256
Kerala,ALAPPUZHA,1998,Whole Year ,Cashewnut,4860,792
Kerala,ALAPPUZHA,1998,Whole Year ,Coconut ,58621,288000000
Kerala,ALAPPUZHA,1998,Whole Year ,Dry ginger,119,224
Kerala,ALAPPUZHA,1998,Whole Year ,Sugarcane,192,4190
Kerala,ALAPPUZHA,1998,Whole Year ,Sweet potato,7,81
Kerala,ALAPPUZHA,1998,Whole Year ,Tapioca,4929,86808
Kerala,ALAPPUZHA,1998,Whole Year ,Turmeric,12,14
Kerala,ALAPPUZHA,1998,Winter     ,Rice,7348,16098
Kerala,ALAPPUZHA,1999,Autumn     ,Rice,8233,24776
Kerala,ALAPPUZHA,1999,Kharif     ,Sesamum,902,126
Kerala,ALAPPUZHA,1999,Summer     ,Rice,16404,39718
Kerala,ALAPPUZHA,1999,Whole Year ,Arecanut,2308,1043
Kerala,ALAPPUZHA,1999,Whole Year ,Banana,536,5418
Kerala,ALAPPUZHA,1999,Whole Year ,Black pepper,1943,242
Kerala,ALAPPUZHA,1999,Whole Year ,Cashewnut,4909,1326
Kerala,ALAPPUZHA,1999,Whole Year ,Coconut ,61270,333000000
Kerala,ALAPPUZHA,1999,Whole Year ,Dry ginger,125,333
Kerala,ALAPPUZHA,1999,Whole Year ,Sugarcane,92,2890
Kerala,ALAPPUZHA,1999,Whole Year ,Sweet potato,2,23
